"Fales, David",San Jose St.,QB,5.18,74,31.75,212,9.25,4.99,,28.0,103.0,7.55,4.5
"Feiler, Matt",Bloomsburg,OL,4.65,78,32.0,330,9.5,5.37,36.0,26.5,103.0,8.13,4.86
"Fera, Anthony",Texas,ST/K,4.95,73,31.0,211,9.175,,,,,,
"Ferguson, Ego",LSU,DL,5.5,75,32.5,315,10.75,,24.0,,,,
"Fiedorowicz, C.J.",Iowa,TE,5.5,77,33.0,265,10.25,4.76,25.0,31.5,116.0,7.1,4.26
"Flanders, Timothy",Sam Houston St.,RB,4.85,69,30.25,207,9.25,4.75,20.0,32.0,113.0,7.07,
"Fleming, Cameron",Stanford,OL,5.22,77,34.0,323,9.875,5.28,26.0,23.5,97.0,8.24,5.0
"Fluellen, David",Toledo,RB,5.1,71,33.375,224,9.175,4.72,,36.5,120.0,6.9,
"Ford, Dee",Auburn,DL,5.37,74,32.875,252,10.25,,,,,,
"Fortt, Khairi",California,LB,5.25,74,33.625,248,10.125,4.7,30.0,36.0,120.0,,
"Fowler, Bennie",Michigan St.,WO,5.03,73,32.0,217,9.5,4.52,,36.0,126.0,7.06,4.18
"Franklin, Austin",New Mexico St.,WO,5.1,71,31.25,189,10.0,4.56,7.0,36.0,124.0,7.07,4.33
"Freeman, Devonta",Florida St.,RB,5.57,68,29.375,206,9.625,4.58,,31.5,118.0,7.11,4.26
"Fuller, Kyle",Virginia Tech,DB,5.4,72,32.875,190,9.375,4.49,12.0,38.5,128.0,6.9,4.19
"Fulton, Zach",Tennessee,OL,5.27,77,33.25,316,10.25,5.16,25.0,24.5,98.0,7.87,5.16
"Gaffney, Tyler",Stanford,RB,5.12,71,30.25,220,9.0,4.49,,36.5,116.0,6.78,4.18
"Gaines, E.J.",Missouri,DB,5.27,70,30.375,190,9.375,,15.0,,,,
"Gaines, Phillip",Rice,DB,4.5,72,31.875,193,9.625,4.38,11.0,36.5,122.0,6.62,4.04
"Gallon, Jeremy",Michigan,WO,5.02,67,29.5,185,9.375,4.49,15.0,,,,
"Garoppolo, Jimmy",Eastern Illinois,QB,5.38,74,31.0,226,9.25,4.97,,30.5,110.0,7.04,4.26
"Gayle, James",Virginia Tech,DL,5.31,76,32.375,259,9.625,4.7,26.0,37.0,122.0,7.19,
"George, Jeremiah",Iowa St.,LB,5.18,71,31.875,234,9.25,4.91,28.0,33.0,116.0,,
"Gilbert, Justin",Oklahoma St.,DB,6.3,72,33.125,202,8.625,4.37,20.0,35.5,126.0,6.92,
"Gillmore, Crockett",Colorado St.,TE,5.0,78,33.75,260,10.375,4.89,,33.5,120.0,7.42,4.44
"Goodson, Demetri",Baylor,DB,5.05,71,31.75,194,9.25,4.52,11.0,37.0,123.0,6.8,4.34
"Grant, Ryan",Tulane,WO,5.12,72,31.0,199,9.625,4.64,8.0,35.5,119.0,6.68,4.11
"Grice, Marion",Arizona State,RB,5.18,72,32.0,202,9.25,,,,,,
"Grimble, Xavier",USC,TE,5.15,76,33.625,257,10.25,,,26.5,113.0,,
"Groy, Ryan",Wisconsin,OL,5.25,77,33.25,316,10.375,5.19,26.0,26.5,108.0,7.49,4.47
"Hageman, Ra'Shede",Minnesota,DL,6.1,78,34.25,310,10.25,5.02,32.0,35.5,114.0,7.87,
"Hal, Andre",Vanderbilt,DB,5.23,70,30.5,188,8.625,4.5,15.0,35.5,119.0,7.14,4.27
"Halapio, Jon",Florida,OL,4.95,75,33.625,323,10.25,5.34,,21.5,100.0,8.26,4.83
"Hampton, Victor",South Carolina,DB,5.28,69,31.25,197,9.25,4.69,20.0,33.5,118.0,7.01,4.2
"Harrison, Jonottha",Florida,OL,5.24,75,33.375,304,9.875,5.15,27.0,27.0,113.0,7.97,4.86
"Hart, Taylor",Oregon,DL,5.29,78,32.75,281,10.125,,21.0,,,,
"Hazel, Matt",Coastal Carolina,WO,5.17,73,31.375,198,9.125,4.5,15.0,36.5,118.0,7.08,4.2
"Heit, Marcus",Kansas St.,ST/L,5.02,75,31.375,258,9.875,4.91,,29.0,,,
"Henderson, Seantre",Miami,OL,5.62,79,34.625,331,10.5,5.04,,24.0,95.0,8.15,4.77
"Herron, Robert",Wyoming,WO,5.2,69,30.5,193,9.75,4.48,18.0,35.5,125.0,6.84,4.27
"Hewitt, Ryan",Stanford,RB,5.05,76,32.0,246,9.25,4.87,,33.0,109.0,7.04,4.35
"Hill, Jeremy",LSU,RB,5.8,73,32.625,233,10.375,4.66,20.0,29.0,113.0,,
"Hitchens, Anthony",Iowa,LB,4.95,72,32.5,240,9.125,4.74,23.0,31.5,116.0,7.15,4.45
"Hocker, Zach",Arkansas,ST/K,4.5,72,30.125,189,8.625,,,,,,
"Hoffman, Cody",BYU,WO,5.07,76,33.25,223,9.75,4.65,13.0,27.5,108.0,6.89,4.2
"Hornsey, Tom",Memphis,ST/P,5.0,75,31.0,221,9.125,,,,,,
"Hubbard, Adrian",Alabama,LB,5.45,78,34.5,257,9.25,4.69,,38.5,117.0,,
"Huff, Josh",Oregon,WO,5.28,71,31.5,206,9.375,4.51,14.0,35.5,116.0,,
"Huff, Marqueston",Wyoming,S,5.7,71,31.375,196,9.0,4.49,15.0,35.5,118.0,7.26,4.19
"Hurns, Allen",Miami,WO,5.1,73,32.0,198,9.25,4.55,14.0,31.0,120.0,7.23,4.5
"Hurst, James",North Carolina,OL,5.39,77,33.75,296,10.125,,,,,,
